uri,track,duration_ms,explicit,track_number,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
spotify:track:19YKaevk2bce4odJkP5L22,Nikes,314075,True,1,0.543,0.394,8,-9.637,0.0864,0.695,0.000239,0.108,0.118,137.811,
spotify:track:2ZWlPOoWh0626oTaHrnl2a,Ivy,249191,True,2,0.567,0.388,9,-9.579,0.0384,0.782,0.000309,0.248,0.452,116.362,
spotify:track:3xKsf9qdS1CyvXSMEid6g8,Pink + White,184516,False,3,0.544,0.552,9,-7.45,0.0991,0.67,4.57e-05,0.415,0.554,159.738,
spotify:track:1IdZvb2XK8NmsovQlV6CPn,Be Yourself,86943,False,4,0.657,0.431,7,-11.147,0.541,0.985,0.0,0.149,0.935,83.509,
spotify:track:35xSkNIXi504fcEwz9USRB,Solo,257380,True,5,0.444,0.287,5,-10.631,0.0375,0.849,2.82e-06,0.161,0.246,124.027,
spotify:track:4xR3MAscflQ262kMeiKshQ,Skyline To,184600,True,6,0.423,0.294,5,-13.673,0.0593,0.882,5.43e-06,0.0981,0.401,129.146,
spotify:track:5GUYJTQap5F3RDQiCOJhrS,Self Control,249667,False,7,0.572,0.209,8,-10.413,0.0313,0.765,0.0,0.356,0.446,80.069,
spotify:track:2JUqYobT8NvARdPmc4ES2x,Good Guy,66786,False,8,0.513,0.131,0,-12.787,0.467,0.983,0.00414,0.12,0.814,105.808,
spotify:track:7eqoqGkKwgOaWNNHx90uEZ,Nights,307151,True,9,0.466,0.548,5,-9.362,0.118,0.42,1.01e-06,0.113,0.423,89.815,
spotify:track:2qtoRFCOEL1gRn5q9DJC7F,Solo (Reprise),78742,False,10,0.541,0.747,7,-6.811,0.162,0.404,0.0,0.086,0.604,83.286,
spotify:track:17yrCsl1Ai6CZLBmGj6d6p,Pretty Sweet,158478,True,11,0.201,0.724,0,-6.744,0.0499,0.258,0.0281,0.296,0.167,154.395,
spotify:track:73D5hBkiVZkopZrmBZTBWf,Facebook Story,68588,False,12,0.632,0.18,7,-20.55,0.685,0.878,0.0,0.249,0.704,85.004,
spotify:track:1VZLEW5ZfcAbKZ94XQiSZF,Close To You,85754,False,13,0.827,0.673,5,-8.401,0.23,0.192,0.00136,0.146,0.779,78.007,
spotify:track:2LMkwUfqC6S6s6qDVlEuzV,White Ferrari,248807,False,14,0.444,0.0924,0,-15.605,0.0366,0.784,0.0,0.304,0.219,108.917,
spotify:track:1BViPjTT585XAhkUUrkts0,Seigfried,334570,False,15,0.377,0.255,4,-11.165,0.0387,0.975,0.000208,0.102,0.37,125.004,
spotify:track:34xTFwjPQ1dC6uJmleno7x,Godspeed,177922,False,16,0.421,0.0952,6,-12.561,0.0479,0.931,0.000201,0.126,0.0773,109.698,
spotify:track:5k8LB57xOq8UUNVaKWSqrf,Futura Free,564165,True,17,0.266,0.678,1,-12.364,0.508,0.769,9.37e-05,0.503,0.201,83.434,
