song_artists,uri,track_name,duration_ms,explicit,track_popularity,track_number,album_name,album_artist,album_release_date,genres,label,album_popularity,album_cover,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_lyrics,lyrics_page_views,cleaned_title,featured_artists
['Chris Young'],spotify:track:5fBCiTK3cN8RJb7AlfwXfB,Raised on Country,177346,False,51,1,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.0712,0.434,0.825,0.000874,6,0.0974,-4.203,1,0.0392,75.986,4,0.537,"Raised on Country Lyrics
Got a little southern drawl in my talk
Little pickup truck on my highway
Got a little boot stomp in my walk
Little neon lighting my Friday
Got some Tennessee in my whiskey
Raise a cup up if you with me

I was raised on Merle, raised on Willie
Got my Honky Tonk attitude from Joe Diffie
Daddy did too, it's family tradition
If someone cranks it up, you can't help but listen
My upbringing sounds like George Strait singing
And I gotta give props to the radio
'Cause if you know me, I was raised on country

It's the only reason that I survived
Every breakup and every party
It's the soundtrack to my life
It runs deep in my DNA
I was raised on Merle, raised on Willie
Got my Honky Tonk attitude from Joe Diffie
Daddy did too, it's family tradition
If someone cranks it up, you can't help but listen
My upbringing sounds like George Strait singing
And I gotta give props to the radio
'Cause if you know me, I was raised on country
I was raised on country

(Raised on country music)
Learned a lot about living and a little 'bout love
(Raised on country music)
And you know that's something I'm so proud of

I was raised on Merle, raised on Willie
Got my Honky Tonk attitude from Joe Diffie
Daddy did too, it's family tradition
If someone cranks it up, you can't help but listen
My upbringing sounds like George Strait singing
And I gotta give props to the radio
'Cause if you know me, I was raised on country

(Raised on country music)
Yeah, I was raised on country
(Raised on country music)
I was raised on country
(Raised on country music)3Embed",7857.0,Raised on Country,
"['Chris Young', 'Kane Brown']",spotify:track:00KyYtT6NaXwbPecina5Pj,Famous Friends,166506,False,70,2,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.0422,0.521,0.883,0.0,1,0.105,-3.807,1,0.0616,80.982,4,0.805,"Famous Friends Lyrics
My buddy Brandon holds the record
For single-season touchdown throws
And good ol' Johnny, he's the life of every party
It's like Cheers, they know him everywhere he goes

I've got some famous friends you've probably never heard of
But back in Rutherford County, our crowd is second to none
You might not know 'em here in this big city we're in
But when I go back home, I've got some famous friends
Yeah, I do

My buddy Jason, he's the sheriff
He'll flash his lights, but lеt me go
My boy Randy, he's a preachеr
My girl Megan, she's been teacher of the year
I swear for five years in a row

I've got some famous friends you've probably never heard of
But back in Hamilton County, our crowd is second to none
You might not know 'em here in this big city we're in
But when I go back home, I've got some famous friends
Yeah, I do
I got friends in high places, on these small town roads
'Cause 'round here, it's all about the people that you know

And I've got some famous friends you've probably never heard of
But back in Davidson County, our crowd is second to none
You might not know 'em here in this big city we're in
But when I go back home, I've got some famous friends
Yeah, I do

(Ooh) Yeah, I do
Might not know 'em here in this big city we're in
But when I go back home, I've got some famous friends, yeah
I've got some famous friends (I've got some famous friends)
Yeah3Embed",13124.0,Famous Friends,
"['Chris Young', 'Lauren Alaina']",spotify:track:5k2k4KbfP9Twp2duWmjHsr,Town Ain't Big Enough,171800,False,42,3,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.22,0.256,0.667,0.0,5,0.0801,-5.232,1,0.0458,69.417,4,0.321,"Town Ain’t Big Enough Lyrics
We used to be the king and the queen
Of bringing the life to a party
When you were there with me
I'd buy the drinks, and you'd play the songs
And be singing along a little off key
And just blame the whiskey

But now I wish that we could draw a line through the city
'Cause seeing those two blue eyes so pretty
Messes me up like it always does
This town ain't big enough

Your friends and mine run into each other all the time
Seems like there ain't no place to run
This town ain't big enough for both of us

Now I go out and I pray the whole time
That I won't see you smiling across the room and miss you
But it never fails, I always do
Wish that we could draw a line through the city
'Cause seeing those two blue eyes so pretty
Messes me up like it always does
This town ain't big enough

Your friends and mine run into each other all the time
Seems like there ain't no place to run
This town ain't big enough for both of us

This town ain't big enough

I wish that we could draw a line through the city
'Cause seeing those two blues eyes so pretty, it messes me up

Your friends and mine run into each other all the time
Seems like there ain't no place to run
This town ain't big enough for both of us

This town ain't big enough
This town ain't big enough
Ain't big enough for both of usEmbed",,Town Ain’t Big Enough,
['Chris Young'],spotify:track:70k6gO9Cpe7TJxUgReKUdJ,Drowning,191613,False,59,4,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.0528,0.535,0.859,0.0,6,0.32,-2.922,1,0.0344,102.008,4,0.698,"Drowning Lyrics
Still got your number in my phone
And even though you don't know I listen
I still call and wait 'til the tone
Just to hear you saying ""Leave a message""
Since you've been gone I've had to find different ways to grieve
There's days that I don't even want it on my mind but tonight I’m weak

So I'm gonna pull out pictures, ones with you in 'em
Laugh and cry a little while reminiscin' by myself
I can't help that all I think about is
How you were taken way too soon
It ain't the same here without you
I gotta say missin' you comes in waves
And tonight I'm drowning

Yeah, I know you're in a better place
And one day I'll see you again
But it's killin' me we can't be face to face
I miss my best friend
So tonight
I'm gonna pull out pictures, ones with you in 'em
Laugh and cry a little while reminiscin by myself
I can't help that all I think about is
How you were taken way too soon
It ain't the same here without you
I gotta say missin' you comes in waves
And tonight I'm drowning
Yeah, tonight I'm drowning

I know it's a part of life
But I wasn't ready to say goodbye
So tonight

I'm gonna pull out pictures, ones with you in 'em
Laugh and cry a little while reminiscin' by myself
I can't help that all I think about is
How you were taken way too soon
It ain't the same here without you
I gotta say missin' you comes in waves
And tonight I'm drowning
Yeah, tonight I'm drowning1Embed",64849.0,Drowning,
['Chris Young'],spotify:track:1bVSBylqceGUesAORRAohr,Rescue Me,198000,False,47,5,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.497,0.44,0.54,0.0,3,0.122,-6.925,1,0.0296,175.767,3,0.39,,,,
['Chris Young'],spotify:track:4BQlJ381TZtypistG3ZrVi,Break Like You Do,196653,False,46,6,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.128,0.578,0.853,1.74e-05,4,0.22,-4.728,1,0.0382,139.931,4,0.509,"Break Like You Do Lyrics
I see you're doin' well
Well, I'm not
Got someone new in your life
Well, I don't
I've been busy wantin' you back
And you've been busy movin' on way too fast
Guess my heart's takin' the long way out
It don't even know what to do
And seein' you with him tonight
I guess I don't break like you

I don't drink like you do, I can't just have one
'Cause I'm still drinkin' 'bout us, so I'll probably get drunk
Wish I could laugh and dance on a Saturday night
Like you do, like goodbye ain't even crossin' your mind
Maybe you're just good at gettin' gone
Or I'm just really bad at movin' on
I'm still in love, girl, it's true
What can I say?
I hate that I don't break like you do
I wish I could just smile, say hello
Show you I'm doin' fine, but I won't
'Cause I can't fake it through
Damnit, I don't break like you

I don't drink like you do, I can't just have one
'Cause I'm still drinkin' 'bout us, so I'll probably get drunk
Wish I could laugh and dance on a Saturday night
Like you do, like goodbye ain't even crossin' your mind
Maybe you're just good at gettin' gone
Or I'm just really bad at movin' on?
I'm still in love, girl, it's true
What can I say?
I hate that I don't break like you do, oh

I don't drink like you do, I can't just have one
So, I'll just sit right here, keep drinkin' 'bout us
I wish I could laugh, wish I could dance
But, baby, I just can't

I don't drink like you do, I can't just have one
'Cause I'm still drinkin' 'bout us, so I'll probably get drunk
Wish I could laugh and dance on a Saturday night
Like you do, like goodbye ain't even crossin' your mind
Maybe you're just good at gettin' gone
Or I'm just really bad at movin' on
I'm still in love, girl, it's true (I'm still in love, it's true)
What can I say?
I hate that I don't break like you do
I hate that I don't break like you doEmbed",,Break Like You Do,
"['Chris Young', 'Mitchell Tenpenny']",spotify:track:2NYOqKy4VX6dqVtzrv1Cx9,At the End of a Bar,186373,False,70,7,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.264,0.545,0.778,0.0,9,0.0724,-4.503,1,0.0307,141.986,4,0.3,"At the End of a Bar Lyrics
You can find your future
Or run into your past
You can look for answers
At the bottom of a glass
You can make a best friend
And never know their name
And buy 'em shots of tequila then forget why you came

There's a million things that you can find
Bartender conversation or a pair of blue eyes, yeah
Your true love or next broken heart
Maybe a party crowd on a Friday night
Long necks, long lines and neon signs, hell
Sometimes that's where it all starts
At the end of a bar

You can hear a cover band
Playin' 90's songs
Bеcome a brand new man
To time marchеs on
Time marches on
There's a million things that you can find
Bartender conversation or a pair of blue eyes, yeah
Your true love or next broken heart
Maybe a party crowd on a Friday night
Long necks, long lines and neon signs, hell
Sometimes that's where it all starts
At the end of a bar
Oh, yeah, yeah
Oh, ooh

There's a million things that you can find
Bartender conversation or a pair of blue eyes, yeah
Your true love or a next broken heart (Or a next broken heart)
Maybe a party crowd on a Friday night
Long necks, long lines and neon signs, hell
Sometimes that's where it all starts
At the end of a bar (Oh, oh, yeah)

(At the end of a, at the end of a, at the end of a bar)
(At the end of a, at the end of a, at the end of a bar)
Oh, you know that's right where you start

You can find your future
Or run into your past
You can look for answers
At the bottom of a glassEmbed",,At the End of a Bar,
['Chris Young'],spotify:track:5Ozp99vvuEOQ3NkHCFnSH3,Love Looks Good on You,210786,False,44,8,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.384,0.579,0.814,0.0,2,0.194,-3.276,1,0.0451,148.081,4,0.755,"Love Looks Good on You Lyrics
First time I saw you sitting all alone at the bar
In that simple sundress you can bet you were breakin' some hearts
But since we got together I've watched
And you've taken it up one more notch

Yeah, baby, love looks good on you
Don't you know everyone stops and they watch how you shine When you walk in a room?
When you smile with no makeup, first thing when you wake up
You look like an angel, it's true
Yeah, baby, love looks good on you

There's a look in your eyes that I swear hadn't been there before
And you're wearing my t-shirt just like it was meant to be yours
So, baby, put your hand in mine
And let me love you the rest of our lives

Yeah, baby, love looks good on you
Don't you know everyone stops and they watch how you shine When you walk in a room?
When you smile with no makeup, first thing when you wake up
You look like an angel, it's true
Yeah, baby, love looks good on you
It looks so good on you
And just like a bottle of wine
It only gets better with time

Yeah, baby, love looks good on you
Don't you know everyone stops and they watch how you shine When you walk in a room?
When you smile with no makeup, first thing when you wake up
You look like an angel, it's true
Yeah, baby, love looks good on you
Yeah, baby, love looks good on you
Baby, love looks good on youEmbed",,Love Looks Good on You,
['Chris Young'],spotify:track:7yfDHSrMEouuWH07DHbH6I,One of Them Nights,162520,False,46,9,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.0443,0.494,0.782,0.0,3,0.0921,-4.228,1,0.0409,75.932,4,0.44,"One of Them Nights Lyrics
Small town, sundown
Words done got around
Somethin' goin' down around here
Left at the stop sign
Just past the county line
Bring it on, bring your own beer

Back in the backwoods
Got a couple real good
Jars of Mountain Dew
There's an old dirt road
Where the good times grow
And I don't know about you

But it feels like one of them nights
It's finally Friday, gonna get right
Hay field lookin' like a runway
Blow them speakers on some country
Yeah, you know what I'm talkin' 'bout, y'all
No closin' time, don't need a last call
The man in the moon's gonna leave on the lights
Drop it into four-wheel, feels like one of them nights
Barbed wire, mud tire
Throw a pallet on the fire
We've been waitin' all week
Shoes on the floorboard
Creek bank, dance floor
Sounds like a party to me

But, yeah, it feels like one of them nights
It's finally Friday, gonna get right
Hay field lookin' like a runway
Blow them speakers on some country
Yeah, you know what I'm talkin' 'bout, y'all
No closin' time, don't need a last call
The man in the moon's gonna leave on the lights
Drop it into four-wheel, feels like one of them nights
(Yeah, it feels like one of them nights)

Ain't no guest list
Ain't gonna miss this
One we'll be talkin' about

But it feels like one of them nights
It's finally Friday, gonna get right
Hay field lookin' like a runway
Blow them speakers on some country
Yeah, you know what I'm talking 'bout, y'all
No closin' time, don't need a last call
The man in the moon's gonna leave on the lights
Drop it into four-wheel, feels like one of them nights
Yeah, it feels like one of them nights
Yeah, it feels like one of them

Small town, sundown
Words done got around
Somethin' goin' down around hereEmbed",,One of Them Nights,
['Chris Young'],spotify:track:4OYewYnGEFG0HIRpXBLf4A,When You're Drinking,196533,False,40,10,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.215,0.351,0.707,0.000103,7,0.222,-3.741,1,0.0418,83.922,4,0.399,"When You’re Drinking Lyrics
We've been down this road before
How many times am I gonna have to close that door?
When you've had wine, and you're lonely
Why is that the only time you ever want me?

You can call me an ex when you hang out with friends
You can call me on a Sunday, just to ask me how I've been
You can call me almost any time, 'cept when you're under neon lights
'Cause you say you love me, and we know you don't mean it
So just don't call me when you're drinking
Just don't call me when you're drinking

'Cause I'll pick up and you'll Uber here
We'll do what we always do and you'll disappear
Then I'll wake up, still holding on
To something that I'll only have 'til you're sober and you're gone

You can call me an ex when you hang out with friends
You can call me on a Sunday, just to ask me how I've been
You can call me almost any time, 'cept when you're under neon lights
'Cause you say you love me, and we know you don't mean it
So just don't call me when you're drinking
'Cause I'll start thinking that this time you really need me
My heart won't learn the lesson that you're always gonna leave me


You can call me an ex when you hang out with friends
You can call me on a Sunday, just to ask me how I've been
You can call me almost any time, 'cept when you're under neon lights
'Cause you say you love me, and we know you don't mean it
So just don't call me when you're drinking
Just don't call me when you're drinkingEmbed",,When You’re Drinking,
