uri,artist_name,artist_total_followers,artist_image,genres,popularity
spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,62430349,https://i.scdn.co/image/ab676161000051749e46a78c5cd2f7a8e7669980,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",98
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,95198498,https://i.scdn.co/image/ab6761610000517412a2ef08d00dd7451a6dbed6,"['pop', 'uk pop']",96
spotify:artist:4q3ewBCX7sLwd24euuV69X,Bad Bunny,46313053,https://i.scdn.co/image/ab676161000051746ad57a3cb26ae3ffd0f28f22,"['latin', 'reggaeton', 'trap latino']",100
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,43517807,https://i.scdn.co/image/ab676161000051742f71b65ef483ed75a8b40437,"['canadian contemporary r&b', 'canadian pop', 'pop']",97
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,78088925,https://i.scdn.co/image/ab67616100005174cdce7620dc940db079bf4952,"['dance pop', 'pop']",93
spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber,58927456,https://i.scdn.co/image/ab676161000051748ae7f2aaa9817a704a87ea36,"['canadian pop', 'pop']",96
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,54311302,https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b,"['detroit hip hop', 'hip hop', 'rap']",95
spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,51454837,https://i.scdn.co/image/ab676161000051749e3acf1eaf3b8846e836f441,['pop'],98
spotify:artist:246dkjvS1zLTtiykXe5h60,Post Malone,36479929,https://i.scdn.co/image/ab67616100005174e07d6b0f2fcc2f2ba6bdc3ce,"['dfw rap', 'melodic rap', 'rap']",91
spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,BTS,47865836,https://i.scdn.co/image/ab6761610000517482a5d58059f81867b871d8b6,"['k-pop', 'k-pop boy group']",96
spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,33338108,https://i.scdn.co/image/ab676161000051745d0fc400392250a750a9403e,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",93
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West,16920457,https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a,"['chicago rap', 'rap']",96
spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,60025811,https://i.scdn.co/image/ab67616100005174d8b9980db67272cb4d2c3daf,"['art pop', 'electropop', 'pop']",92
spotify:artist:4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,23331465,https://i.scdn.co/image/ab676161000051741908e1a8b79abf71d5598944,"['chicago rap', 'melodic rap']",95
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,35055170,https://i.scdn.co/image/ab67616100005174865a3301762a8fce048cb469,"['permanent wave', 'pop']",92
spotify:artist:15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,35689992,https://i.scdn.co/image/ab67616100005174f0c20db5ef6c6fbe5135d2e4,"['emo rap', 'miami hip hop']",92
spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,Ozuna,31646986,https://i.scdn.co/image/ab67616100005174e9cd20f3cea76432155607da,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",91
spotify:artist:6LuN9FCkKOj5PcnpouEgny,Khalid,15104821,https://i.scdn.co/image/ab67616100005174012b37d6dec8872b18524f78,"['pop', 'pop r&b']",90
spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,33186400,https://i.scdn.co/image/ab67616100005174d42a27db3286b58553da8858,"['dance pop', 'pop', 'uk pop']",94
spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,39274206,https://i.scdn.co/image/ab67616100005174920dc1f617550de8388f368e,"['modern rock', 'rock']",92
spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,20250775,https://i.scdn.co/image/ab67616100005174e707b87e3f65997f6c09bfff,"['hip hop', 'rap', 'slap house']",92
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,48019298,https://i.scdn.co/image/ab67616100005174019d6873a01987cbe35888cd,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",92
spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5,35864464,https://i.scdn.co/image/ab67616100005174288ac05481cedc5bddb5b11b,"['pop', 'pop rock']",90
spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,37212001,https://i.scdn.co/image/ab6761610000517446e7a06fa6dfefaed6a3f0db,"['canadian pop', 'dance pop', 'pop', 'viral pop']",89
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,24060081,https://i.scdn.co/image/ab6761610000517475348e1aade2645ad9c58829,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",90
spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,22629054,https://i.scdn.co/image/ab67616100005174578905d5539cff25568dc097,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",87
spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,39460987,https://i.scdn.co/image/ab67616100005174c36dd9eb55fb0db4911f25dd,"['dance pop', 'pop']",92
spotify:artist:4VMYDCV2IEDYJArk749S6m,Daddy Yankee,26618801,https://i.scdn.co/image/ab676161000051742204cb5a314573e202f20f8d,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",93
spotify:artist:2wY79sveU1sp5g7SokKOiI,Sam Smith,19217582,https://i.scdn.co/image/ab67616100005174e5a4f8ec6996364b2f824fcb,"['dance pop', 'pop', 'uk pop']",86
spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Queen,40646312,https://i.scdn.co/image/af2b8e57f6d7b5d43a616bd1e27ba552cd8bfd42,"['classic rock', 'glam rock', 'rock']",88
spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,19701465,https://i.scdn.co/image/ab67616100005174ee29d711d7afd1e882486e1a,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",91
spotify:artist:69GGBxA162lTqCwzJG5jLp,The Chainsmokers,18956074,https://i.scdn.co/image/ab676161000051743c02f4fb4cc9187c488afd50,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",85
spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,One Direction,25475559,https://i.scdn.co/image/289c7f686f5b78ceeb224453cf9a15697a678a79,"['boy band', 'pop', 'post-teen pop', 'talent show']",88
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Chris Brown,15707135,https://i.scdn.co/image/ab67616100005174ba4309876dbc0ef3222c5512,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",90
spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,30875977,https://i.scdn.co/image/ab67616100005174d3d058be8485c8583703b6d2,"['dance pop', 'pop', 'r&b']",87
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,Future,11313928,https://i.scdn.co/image/ab67616100005174888112f96c607aa2c6a1ffe8,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",91
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,24671914,https://i.scdn.co/image/ab67616100005174af3459f7c235fd25daf7f84f,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",90
